tunnus,nimi,kunta,ha,omistaja
230-405-9-325,Haiti-Latikka-Murhi,Karvia,61.8,EKLKOK
214-423-28-3,Koskinen,Kankaanpää,42.1,EKLKOK
936-403-3-111,MASTONKÄÄNTÖKALLIO,Virrat,33.4,EKLKOK
214-424-7-111,METSÄPAATTIKOSKI,Kankaanpää,27.9,EKLKOK
743-413-1-2,Korpelankalliot,Seinäjoki,27.8,EKLKOK
581-431-2-70,Perämetsä,Parkano,22.3,EKLKOK
230-413-2-40,Äidinmaa,Karvia,20.3,EKLKOK
143-405-13-9,,Ikaalinen,18.3,EKLKOK
702-409-4-34,SUOPELTO,Ruovesi,16.4,EKLKOK
230-405-5-28,Kalliomäki,Karvia,16.3,EKLKOK
980-454-5-30,Vehkajärvi,Ylöjärvi,15.4,EKLKOK
230-413-4-44,Lisä-Majanen,Karvia,14.2,EKLKOK
287-409-3-60,MANU,Kristiinankaupunki,12.1,EKLKOK
936-403-3-119,Matinlisä,Virrat,12,EKLKOK
581-407-46-7,Mattila,Parkano,11.5,EKLKOK
743-413-4-181,SAMMATTIAHO,Seinäjoki,10.5,EKLKOK
182-414-2-31,LISÄ-PIIMÄLÄ,Jämsä,9.8,EKLKOK
249-409-1-11,PATAMA,Keuruu,9,EKLKOK
143-407-7-49,KAUKALOINEN,Ikaalinen,8.9,EKLKOK
980-466-48-1,TALVINEVA,Ylöjärvi,8.6,EKLKOK
250-403-26-1,SARVALA I,Kihniö,8.3,EKLKOK
581-435-63-0,SALOLA,Parkano,8.1,EKLKOK
182-414-1-81,METSÄ-PIIMÄLÄ,Jämsä,7.7,EKLKOK
581-431-86-0,RAJAMAA,Parkano,7.4,EKLKOK
980-445-1-53,VEHKOSRANTA,Ylöjärvi,6.5,EKLKOK
214-425-3-144,Holma,Kankaanpää,6.4,EKLKOK
581-407-50-6,Saloton,Parkano,6.4,EKLKOK
581-403-22-15,VIITA,Parkano,6.2,EKLKOK
214-893-1-3,Röömi,Kankaanpää,5.8,EKLKOK
729-406-1-91,LÄHEMÄKI,Saarijärvi,5.4,EKLKOK
182-414-1-96,Nimetön,Jämsä,3.8,EKLKOK
230-417-6-45,ESALA,Karvia,3.5,EKLKOK
214-425-3-33,METSÄMAA,Kankaanpää,3,EKLKOK
980-413-1-131,Puro-Onni,Ylöjärvi,0.7,EKLKOK
581-421-30-0,Kisala,Parkano,0.6,EKLKOK
214-405-3-38-M601,,Kankaanpää,0,EKLKOK
99-403-8-56,MÄKELÄ,Kankaanpää,45.9,EKLKOKTK
214-402-4-4,KURKISALO,Kankaanpää,42.7,EKLKOKTK
214-405-5-30,Isänmaa,Kankaanpää,38.9,EKLKOKTK
181-409-1-38,LISÄ-NIEMI,Jämijärvi,37.5,EKLKOKTK
99-407-2-124,HAAPAMÄKI,Kankaanpää,33.2,EKLKOKTK
230-413-26-1,Isänmaa,Karvia,31.9,EKLKOKTK
581-407-47-17,PELTOMÄKI,Parkano,31.8,EKLKOKTK
581-431-1-20,LUOMA,Parkano,30,EKLKOKTK
581-437-23-1,KOIVISTONMÄKI,Parkano,29.8,EKLKOKTK
250-409-12-23,ISÄNMAA,Kihniö,29.4,EKLKOKTK
581-435-45-14,,Parkano,28.8,EKLKOKTK
581-431-104-13,,Parkano,27.2,EKLKOKTK
702-411-8-5,JUUSELA,Ruovesi,25,EKLKOKTK
232-402-1-409,JANTIKKA,Kauhajoki,23.9,EKLKOKTK
581-437-3-36,Isänmaa,Parkano,21.9,EKLKOKTK
702-413-3-43,VAPPULA,Ruovesi,21.9,EKLKOKTK
250-403-14-54,Koskinen,Kihniö,21.5,EKLKOKTK
179-411-2-365,POHJUKKALA,Jyväskylä,20.1,EKLKOKTK
702-406-1-948,,Ruovesi,18.2,EKLKOKTK
230-405-2-90,RAHKOLA,Karvia,17.3,EKLKOKTK
179-411-3-15,Metsä-Niemi,Jyväskylä,16.9,EKLKOKTK
214-401-8-22,HEINONEN,Kankaanpää,16.5,EKLKOKTK
581-431-1-24,METSÄRAISKIO,Parkano,16.1,EKLKOKTK
214-425-10-17,MAASYRJÄ,Kankaanpää,15.8,EKLKOKTK
214-424-4-64,HANNULA,Kankaanpää,14.7,EKLKOKTK
581-437-3-32,HOUSUHALME,Parkano,13.2,EKLKOKTK
581-431-12-61,OJAKOSKI,Parkano,12.3,EKLKOKTK
581-431-12-13,YLIKOSKI,Parkano,11.8,EKLKOKTK
181-407-11-28,SUOTORPPA,Jämijärvi,11.5,EKLKOKTK
143-403-1-96,Isänmaa,Ikaalinen,11,EKLKOKTK
250-401-39-1,KANTONIEMI,Kihniö,10.9,EKLKOKTK
250-405-5-59,TUULELA,Kihniö,10.7,EKLKOKTK
214-401-8-169,RINNET,Kankaanpää,10.6,EKLKOKTK
214-406-4-23,Aromaa,Kankaanpää,10.2,EKLKOKTK
250-407-23-19,SAMILA,Kihniö,9.4,EKLKOKTK
181-417-5-58,Isänmaa,Jämijärvi,7.9,EKLKOKTK
581-431-12-37,HAKA,Parkano,7.5,EKLKOKTK
143-423-6-29,TAKAMAA,Ikaalinen,6.9,EKLKOKTK
214-414-3-39,KORPI,Kankaanpää,6.8,EKLKOKTK
581-431-12-29,HAUTASAARI,Parkano,6.7,EKLKOKTK
581-423-4-60,UUSINIITTY,Parkano,6.5,EKLKOKTK
230-417-1-69,Koskinen,Karvia,6.4,EKLKOKTK
143-423-2-23,LEPISTÖ,Ikaalinen,5.9,EKLKOKTK
250-407-38-0,KUUSIRANTA,Kihniö,5.7,EKLKOKTK
143-431-6-90,LAHTI,Ikaalinen,4.8,EKLKOKTK
230-413-1-80,Isänmaa,Karvia,4.8,EKLKOKTK
143-423-6-24,METSÄRANTA,Ikaalinen,4.8,EKLKOKTK
581-411-27-2,JÄNISMÄKI,Parkano,4.5,EKLKOKTK
581-423-1-20,MARTTILA,Parkano,4.3,EKLKOKTK
143-423-6-23,SALMIRANTA,Ikaalinen,4,EKLKOKTK
250-407-8-110,Mäntyniemi,Kihniö,3.9,EKLKOKTK
214-416-1-42,KORVENRANTA,Kankaanpää,3,EKLKOKTK
214-406-22-20,KURKINEVA,Kankaanpää,2.3,EKLKOKTK
581-431-50-0,KOVERO,Parkano,2.1,EKLKOKTK
214-406-22-7,KURKINEVA II,Kankaanpää,1.5,EKLKOKTK
301-418-6-6,Isänmaa,Kurikka,1.3,EKLKOKTK
230-403-10-17-M602,,Karvia,0,EKLKOKTK
